日期,天气,最高温度,最低温度,风力风向
2021年8月18日,多云,32,23,东风 1-2级
2021年8月17日,小雨,30,24,东北风 3-4级
2021年8月16日,小雨,28,24,北风 1-2级
2021年8月15日,小到中雨,26,22,北风 1-2级
2021年8月14日,小到中雨,26,23,北风 3-4级
2021年8月13日,大到暴雨,27,22,北风 3-4级
2021年8月12日,中雨,30,25,东北风 1-2级
2021年8月11日,小到中雨,30,25,北风 1-2级
2021年8月10日,小雨,32,26,北风 1-2级
2021年8月9日,小雨,33,26,东北风 3-4级
2021年8月8日,晴,32,24,北风 1-2级
2021年8月7日,小雨,32,24,东风 1-2级
2021年8月6日,小雨,32,25,东风 3-4级
2021年8月5日,小雨,32,25,东风 3-4级
2021年8月4日,小雨,32,26,东风 4-5级
2021年8月3日,小雨,32,26,东风 3-4级
2021年8月2日,小雨,32,25,东北风 3-4级
2021年8月1日,小雨,31,25,东风 3-4级
,,,,
2021年7月31日,小雨,32,26,北风 1-2级
2021年7月30日,小雨,33,26,东风 1-2级
2021年7月29日,多云,34,25,西南风 4-5级
2021年7月28日,小雨,32,26,南风 4-5级
2021年7月27日,小到中雨,29,26,南风 4-5级
2021年7月26日,大雨,26,25,西北风 5-6级
2021年7月25日,大到暴雨,26,24,西北风 8-9级
2021年7月24日,中雨,27,24,东北风 6-7级
2021年7月23日,小雨,29,24,东北风 6-7级
2021年7月22日,小雨,30,25,东风 5-6级
2021年7月21日,小雨,33,25,东风 4-5级
2021年7月20日,晴,34,27,东风 4-5级
2021年7月19日,晴,34,26,东风 3-4级
2021年7月18日,多云,33,26,东风 3-4级
2021年7月17日,晴,35,26,东风 3-4级
2021年7月16日,晴,36,28,东南风 3-4级
2021年7月15日,小雨,37,27,南风 3-4级
2021年7月14日,晴,37,27,南风 3-4级
2021年7月13日,晴,37,27,西南风 3-4级
2021年7月12日,晴,37,28,西南风 3-4级
2021年7月11日,晴,37,27,西南风 3-4级
2021年7月10日,中到大雨,33,25,南风 3-4级
2021年7月9日,小雨,30,26,西南风 4-5级
2021年7月8日,小雨,35,27,西南风 4-5级
2021年7月7日,雷阵雨,36,28,西南风 3-4级
2021年7月6日,晴,37,27,南风 3-4级
2021年7月5日,小雨,34,25,南风 3-4级
2021年7月4日,小到中雨,30,25,东风 3-4级
2021年7月3日,小雨,32,25,西南风 5-6级
2021年7月2日,中到大雨,28,25,西南风 3-4级
2021年7月1日,小雨,29,24,东风 3-4级
,,,,
2021年6月30日,小雨,29,24,东风 3-4级
2021年6月29日,小雨,31,24,东风 3-4级
2021年6月28日,小雨,30,23,东风 3-4级
2021年6月27日,中到大雨,27,24,北风 1-2级
2021年6月26日,中雨,29,24,南风 3-4级
2021年6月25日,晴,32,23,东风 3-4级
2021年6月24日,晴,33,22,东风 3-4级
2021年6月23日,晴,30,21,东风 3-4级
2021年6月22日,多云,29,21,东风 3-4级
2021年6月21日,晴,26,19,东风 3-4级
2021年6月20日,小雨,23,20,东风 3-4级
2021年6月19日,小到中雨,22,20,东北风 3-4级
2021年6月18日,中雨,29,24,北风 3-4级
2021年6月17日,小到中雨,33,25,西风 3-4级
2021年6月16日,中雨,31,25,北风 3-4级
2021年6月15日,小雨,34,24,西南风 4-5级
2021年6月14日,小雨,31,25,东南风 3-4级
2021年6月13日,中雨,28,24,东北风 1-2级
2021年6月12日,雷阵雨,32,24,东风 3-4级
2021年6月11日,小雨,30,24,东风 1-2级
2021年6月10日,中雨,26,23,西南风 3-4级
2021年6月9日,小雨,31,24,东风 1-2级
2021年6月8日,晴,29,22,东风 3-4级
2021年6月7日,晴,31,19,东风 3-4级
2021年6月6日,晴,32,19,东风 3-4级
2021年6月5日,晴,30,18,南风 1-2级
2021年6月4日,多云,25,18,东南风 3-4级
2021年6月4日,多云,25,18,东南风 3-4级
2021年6月4日,多云,25,18,东南风 3-4级
2021年6月3日,小到中雨,30,20,西北风 3-4级
2021年6月2日,小雨,28,23,北风 1-2级
2021年6月1日,小雨,29,22,南风 3-4级
,,,,
2021年5月31日,晴,30,20,东风 3-4级
2021年5月30日,晴,31,20,东风 3-4级
2021年5月29日,晴,30,20,东南风 3-4级
2021年5月28日,多云,29,21,西南风 3-4级
2021年5月27日,多云,29,21,西南风 3-4级
2021年5月26日,大雨,23,19,东风 5-6级
2021年5月25日,晴,29,19,东北风 4-5级
2021年5月24日,多云,27,18,北风 3-4级
2021年5月23日,中雨,22,18,西北风 3-4级
2021年5月22日,阴,25,18,东南风 3-4级
2021年5月21日,多云,25,19,东风 3-4级
2021年5月20日,多云,26,17,西北风 4-5级
2021年5月19日,中雨,21,19,东风 3-4级
2021年5月18日,小雨,23,18,东风 3-4级
2021年5月17日,小雨,22,17,北风 3-4级
2021年5月16日,中雨,27,19,西北风 5-6级
2021年5月15日,中到大雨,35,24,西南风 4-5级
2021年5月14日,小雨,32,23,西南风 3-4级
2021年5月13日,小雨,28,21,东风 3-4级
2021年5月12日,小到中雨,29,21,东风 3-4级
2021年5月11日,中雨,28,21,西南风 4-5级
2021年5月10日,小雨,34,24,西南风 3-4级
2021年5月9日,晴,34,20,东风 3-4级
2021年5月8日,多云,32,19,西南风 4-5级
2021年5月7日,多云,31,19,北风 1-2级
2021年5月6日,阴,26,18,南风 3-4级
2021年5月5日,多云,25,15,东风 3-4级
2021年5月4日,小到中雨,25,16,西北风 3-4级
2021年5月3日,多云,30,19,南风 3-4级
2021年5月2日,晴,24,15,东风 4-5级
2021年5月1日,晴,27,16,北风 3-4级
,,,,
2021年4月30日,晴,31,18,西南风 5-6级
2021年4月29日,多云,27,18,西南风 4-5级
2021年4月28日,阴,24,15,东北风 3-4级
2021年4月27日,小雨,19,16,北风 1-2级
2021年4月26日,阴,24,17,东风 1-2级
2021年4月25日,小雨,22,16,东风 3-4级
2021年4月24日,小雨,22,17,北风 3-4级
2021年4月23日,阴,24,17,东北风 1-2级
2021年4月22日,小雨,25,19,西南风 3-4级
2021年4月21日,多云,28,16,东南风 1-2级
2021年4月20日,多云,25,14,东南风 3-4级
2021年4月19日,晴,23,12,东风 3-4级
2021年4月18日,多云,19,11,东风 3-4级
2021年4月17日,阴,23,11,北风 4-5级
2021年4月16日,小雨,24,13,北风 3-4级
2021年4月15日,阴,19,11,东南风 1-2级
2021年4月14日,阴,15,11,东风 3-4级
2021年4月13日,阴,20,12,东风 3-4级
2021年4月12日,小雨,17,15,北风 1-2级
2021年4月11日,小雨,18,14,北风 1-2级
2021年4月10日,多云,19,11,东北风 4-5级
2021年4月9日,晴,18,7,东北风 3-4级
2021年4月8日,小雨,14,8,东北风 1-2级
2021年4月7日,小雨,14,10,东北风 3-4级
2021年4月6日,多云,19,11,东风 3-4级
2021年4月5日,晴,17,10,东北风 3-4级
2021年4月4日,多云,17,6,北风 3-4级
2021年4月3日,小雨,18,11,西南风 1-2级
2021年4月2日,阴,21,15,北风 1-2级
2021年4月1日,小雨,20,16,北风 1-2级
,,,,
2021年3月31日,小雨,22,14,东风 3-4级
2021年3月30日,小雨,17,14,东北风 5-6级
2021年3月29日,小雨,27,16,东北风 1-2级
2021年3月28日,晴,25,13,北风 1-2级
2021年3月27日,小雨,22,14,北风 3-4级
2021年3月26日,多云,24,13,南风 3-4级
2021年3月25日,晴,20,9,东风 3-4级
2021年3月24日,晴,19,8,东北风 3-4级
2021年3月23日,多云,17,9,东南风 3-4级
2021年3月22日,晴,15,5,东北风 1-2级
2021年3月21日,阴,15,4,北风 1-2级
2021年3月20日,小雨,13,9,西南风 1-2级
2021年3月19日,小到中雨,13,11,东北风 3-4级
2021年3月18日,小雨,13,10,东风 3-4级
2021年3月17日,小雨,11,9,东风 3-4级
2021年3月16日,小雨,16,9,东北风 3-4级
2021年3月15日,小雨,25,14,北风 1-2级
2021年3月14日,多云,18,10,东北风 4-5级
2021年3月13日,多云,16,7,东北风 3-4级
2021年3月12日,多云,15,7,西南风 3-4级
2021年3月11日,小雨,12,9,北风 1-2级
2021年3月10日,多云,16,9,东风 3-4级
2021年3月9日,阴,13,7,东北风 3-4级
2021年3月8日,小雨,12,8,东北风 4-5级
2021年3月7日,小雨,8,6,北风 1-2级
2021年3月6日,小雨,12,6,东北风 3-4级
2021年3月5日,小雨,16,9,东北风 3-4级
2021年3月4日,多云,16,8,西北风 1-2级
2021年3月3日,小雨,12,7,东北风 1-2级
2021年3月2日,多云,11,4,北风 3-4级
2021年3月1日,小雨,15,6,北风 1-2级
,,,,
2021年2月28日,阴,16,11,北风 3-4级
2021年2月27日,小雨,12,10,东北风 3-4级
2021年2月26日,小到中雨,10,8,北风 1-2级
2021年2月25日,小雨,17,9,西南风 3-4级
2021年2月24日,晴,18,9,东北风 4-5级
2021年2月23日,多云,14,7,东北风 6-7级
2021年2月22日,阴,27,8,东北风 5-6级
2021年2月21日,晴,26,10,西南风 3-4级
2021年2月20日,晴,23,8,西南风 4-5级
2021年2月19日,晴,19,7,西南风 4-5级
2021年2月18日,晴,11,3,北风 3-4级
2021年2月17日,晴,10,2,东北风 1-2级
2021年2月16日,阴,12,3,北风 1-2级
2021年2月15日,多云,15,7,东北风 3-4级
2021年2月14日,小雨,19,8,西南风 3-4级
2021年2月13日,阴,16,9,东北风 3-4级
2021年2月12日,阴,13,9,东北风 3-4级
2021年2月11日,小到中雨,10,8,东风 3-4级
2021年2月10日,阴,11,8,东风 3-4级
2021年2月9日,多云,12,7,东风 3-4级
2021年2月8日,小雨,14,3,东北风 3-4级
2021年2月7日,多云,18,8,东风 3-4级
2021年2月6日,多云,17,6,西南风 3-4级
2021年2月5日,小雨,14,8,西南风 1-2级
2021年2月4日,晴,13,8,东北风 4-5级
2021年2月3日,多云,17,6,北风 1-2级
2021年2月2日,晴,11,4,东北风 3-4级
2021年2月1日,小雨,12,6,北风 1-2级
,,,,
2021年1月31日,多云,19,10,北风 1-2级
2021年1月30日,多云,15,5,东风 1-2级
2021年1月29日,晴,11,1,东北风 3-4级
2021年1月28日,晴,11,0,西南风 4-5级
2021年1月27日,小雨,10,5,北风 1-2级
2021年1月26日,阴,11,8,西南风 3-4级
2021年1月25日,阴,13,9,北风 1-2级
2021年1月24日,阴,11,5,东风 1-2级
2021年1月23日,小雨,8,5,北风 1-2级
2021年1月22日,小雨,12,7,北风 1-2级
2021年1月21日,多云,21,9,北风 1-2级
2021年1月20日,晴,18,7,南风 1-2级
2021年1月19日,晴,13,3,东南风 3-4级
2021年1月18日,晴,12,1,西南风 3-4级
2021年1月17日,晴,7,-1,北风 1-2级
2021年1月16日,多云,7,0,东北风 3-4级
2021年1月15日,晴,20,4,北风 3-4级
2021年1月14日,多云,17,5,北风 1-2级
2021年1月13日,晴,16,3,西南风 3-4级
2021年1月12日,晴,10,1,西南风 3-4级
2021年1月11日,晴,8,0,西北风 3-4级
2021年1月10日,多云,6,-1,东北风 1-2级
2021年1月9日,多云,5,-2,西北风 1-2级
2021年1月8日,晴,2,-5,西北风 3-4级
2021年1月7日,阴,0,-5,西北风 4-5级
2021年1月6日,阴,6,-2,北风 4-5级
2021年1月5日,小雨,9,1,东北风 3-4级
2021年1月4日,多云,12,5,东风 3-4级
2021年1月3日,多云,11,0,东风 3-4级
2021年1月2日,晴,8,0,北风 1-2级
2021年1月1日,晴,6,-2,北风 1-2级
,,,,
2020年12月31日,晴,2,-2,西北风 1-2级
2020年12月30日,晴,0,-4,西北风 5-6级
2020年12月29日,小雨,13,-3,西北风 5-6级
2020年12月28日,晴,15,5,东风 3-4级
2020年12月27日,小雨,13,5,北风 1-2级
2020年12月26日,阴,13,8,北风 1-2级
2020年12月25日,晴,11,4,东风 3-4级
2020年12月24日,晴,13,2,北风 3-4级
2020年12月23日,阴,11,4,北风 1-2级
2020年12月22日,晴,11,1,北风 1-2级
2020年12月21日,晴,8,0,东风 1-2级
2020年12月20日,晴,8,0,东北风 3-4级
2020年12月19日,多云,8,1,北风 4-5级
2020年12月18日,小雨,5,3,北风 3-4级
2020年12月17日,多云,7,3,东风 1-2级
2020年12月16日,晴,6,0,北风 1-2级
2020年12月15日,晴,5,0,北风 3-4级
2020年12月14日,阴,4,0,北风 3-4级
2020年12月13日,晴,12,2,北风 4-5级
2020年12月12日,晴,12,4,东北风 3-4级
2020年12月11日,阴,11,6,北风 1-2级
2020年12月10日,阴,13,9,北风 1-2级
2020年12月9日,多云,13,7,北风 1-2级
2020年12月8日,阴,11,7,东北风 3-4级
2020年12月7日,阴,12,8,北风 3-4级
2020年12月6日,晴,13,6,东风 1-2级
2020年12月5日,多云,10,4,东风 3-4级
2020年12月4日,多云,9,4,北风 3-4级
2020年12月3日,阴,9,3,西北风 4-5级
2020年12月3日,阴,9,3,西北风 4-5级
2020年12月2日,阴,13,8,北风 3-4级
2020年12月1日,阴,13,9,东风 3-4级
,,,,
2020年11月30日,阴,12,7,东北风 3-4级
2020年11月29日,多云,11,6,北风 3-4级
2020年11月28日,阴,10,6,北风 3-4级
2020年11月27日,小雨,11,8,北风 3-4级
2020年11月26日,阴,13,9,西北风 3-4级
2020年11月25日,小雨,12,11,北风 3-4级
2020年11月24日,小雨,11,9,北风 3-4级
2020年11月23日,阴,12,9,东北风 3-4级
2020年11月22日,阴,11,10,北风 4-5级
2020年11月21日,阴,19,14,东南风 3-4级
2020年11月20日,小雨,17,13,东北风 3-4级
2020年11月19日,小雨,23,15,北风 3-4级
2020年11月18日,多云,28,18,南风 3-4级
2020年11月17日,阴,27,19,南风 3-4级
2020年11月16日,多云,23,15,东风 3-4级
2020年11月15日,晴,24,14,东风 3-4级
2020年11月14日,多云,20,12,东风 4-5级
2020年11月13日,多云,21,12,东风 3-4级
2020年11月12日,晴,22,12,东风 3-4级
2020年11月11日,晴,20,9,东风 3-4级
2020年11月10日,晴,19,9,东北风 3-4级
2020年11月9日,晴,19,10,东北风 3-4级
2020年11月8日,晴,21,11,北风 1-2级
2020年11月7日,多云,24,12,北风 3-4级
2020年11月6日,晴,24,14,北风 1-2级
2020年11月5日,多云,21,13,东风 1-2级
2020年11月4日,晴,17,11,东风 3-4级
2020年11月3日,晴,18,10,北风 3-4级
2020年11月2日,多云,22,13,北风 3-4级
2020年11月1日,阴,20,17,北风 1-2级
,,,,
2020年10月31日,多云,21,13,北风 1-2级
2020年10月30日,晴,21,12,东风 1-2级
2020年10月29日,多云,21,13,东风 3-4级
2020年10月28日,多云,23,16,北风 1-2级
2020年10月27日,阴,22,16,东北风 3-4级
2020年10月26日,多云,23,13,北风 1-2级
2020年10月25日,多云,21,14,东风 3-4级
2020年10月24日,多云,19,12,东风 1-2级
2020年10月23日,晴,20,9,北风 3-4级
2020年10月22日,多云,21,11,北风 3-4级
2020年10月21日,阴,19,14,北风 1-2级
2020年10月20日,多云,21,14,东风 1-2级
2020年10月19日,阴,20,14,北风 1-2级
2020年10月18日,小雨,21,15,东北风 1-2级
2020年10月17日,多云,20,14,东北风 3-4级
2020年10月16日,小雨,16,13,北风 3-4级
2020年10月15日,小雨,23,17,东风 4-5级
2020年10月14日,阴,24,17,东风 3-4级
2020年10月13日,多云,24,16,东风 3-4级
2020年10月12日,多云,25,16,东北风 3-4级
2020年10月11日,多云,25,15,北风 1-2级
2020年10月10日,多云,24,14,北风 1-2级
2020年10月9日,多云,24,15,北风 1-2级
2020年10月8日,多云,23,17,东北风 3-4级
